requestDate,requestSize,request,responseDate,responseSize,totalResults
2003-03-04 10:08:19.134000,160,kevsu,2003-03-04 10:08:19.139000,41,0
2003-03-04 10:11:26.780000,161,albuto,2003-03-04 10:11:26.786000,41,0
2003-03-04 10:11:28.302000,164,albuterol,2003-03-04 10:11:28.310000,18918,12
2003-03-04 10:10:58.145000,162,morphin,2003-03-04 10:10:58.238000,91613,28
2003-03-04 10:12:00.831000,159,pro,2003-03-04 10:12:01.267000,117604,392
2003-03-04 10:12:01.742000,160,prop,2003-03-04 10:12:01.789000,82133,58
2003-03-04 10:09:37.319000,162,Lorazep,2003-03-04 10:09:37.334000,16475,8
2003-03-04 09:56:12.078000,161,cipro,2003-03-04 09:56:12.087000,27865,17
2003-03-04 09:57:02.154000,161,Loraze,2003-03-04 09:57:02.171000,16475,8
2003-03-04 09:55:41.928000,163,ketocon,2003-03-04 09:55:41.936000,11690,11
2003-03-04 10:20:45.524000,164,MS Contin,2003-03-04 10:20:45.564000,4737,1
2003-03-04 09:48:30.608000,203,Haldol Decanoate (haloperidol decanoate) solutio,2003-03-04 09:48:30.614000,41,0
2003-03-04 09:36:23.090000,165,quetiapine,2003-03-04 09:36:23.101000,23869,5
2003-03-04 09:40:00.136000,157,Be,2003-03-04 09:40:00.173000,77967,347
2003-03-04 10:10:07.236000,164,acetamino,2003-03-04 10:10:07.267000,70950,321
2003-03-04 10:34:37.569000,164,methadon,2003-03-04 10:34:37.586000,15725,11
2003-03-04 10:37:38.802000,164,nystatin,2003-03-04 10:37:38.810000,19231,10
2003-03-04 10:40:30.970000,156,e,2003-03-04 10:40:31.019000,61987,1621
2003-03-04 10:36:43.034000,167,nystatin dr,2003-03-04 10:36:43.040000,41,0
2003-03-04 10:37:18.233000,160,cleo,2003-03-04 10:37:18.239000,19486,12
2003-03-04 10:38:46.564000,158,cop,2003-03-04 10:38:46.577000,33371,32
2003-03-04 10:38:47.466000,160,compa,2003-03-04 10:38:47.476000,21884,22
2003-03-04 10:36:28.085000,162,doxycy,2003-03-04 10:36:28.098000,49869,26
2003-03-04 10:38:46.065000,159,copm,2003-03-04 10:38:46.071000,41,0
2003-03-04 10:38:48.901000,161,compaz,2003-03-04 10:38:48.906000,3076,2
2003-03-04 10:45:59.800000,166,Adderall XR,2003-03-04 10:45:59.812000,6300,1
2003-03-04 10:50:41.086000,161,fluco,2003-03-04 10:50:41.093000,13718,5
2003-03-04 10:53:49.614000,162,Valtrex,2003-03-04 10:53:49.620000,2477,1
2003-03-04 10:55:17.061000,159,Adde,2003-03-04 10:55:17.078000,12872,2
2003-03-04 08:31:45.140000,158,Top,2003-03-04 08:31:45.160000,64965,29
2003-03-04 08:31:46.580000,160,Topro,2003-03-04 08:31:46.585000,4241,1
2003-03-04 08:28:56.528000,159,Synt,2003-03-04 08:28:56.579000,12413,1
2003-03-04 08:30:18.665000,161,Levoth,2003-03-04 08:30:18.680000,72000,9
2003-03-04 08:28:55.205000,156,S,2003-03-04 08:28:55.305000,80753,3569
2003-03-04 08:59:53.239000,158,mor,2003-03-04 08:59:53.299000,96740,32
2003-03-04 08:59:18.453000,168,gabapentin ca,2003-03-04 08:59:18.474000,1066,1
2003-03-04 08:57:28.424000,159,oxyc,2003-03-04 08:57:28.477000,54490,16
2003-03-04 08:51:13.496000,161,amoxi,2003-03-04 08:51:13.507000,38206,18
2003-03-04 08:51:16.813000,167,amoxicillin,2003-03-04 08:51:16.822000,35911,16
2003-03-04 09:05:56.406000,160,betad,2003-03-04 09:05:56.415000,5631,5
2003-03-04 09:03:52.050000,158,ati,2003-03-04 09:03:52.060000,4673,2
2003-03-04 09:07:44.610000,158,lis,2003-03-04 09:07:44.634000,49112,19
2003-03-04 08:52:51.778000,162,augmen,2003-03-04 08:52:51.785000,12836,9
2003-03-04 08:53:34.999000,160,bacf,2003-03-04 08:53:35.004000,41,0
2003-03-04 08:53:35.947000,159,bac,2003-03-04 08:53:35.965000,85248,72
2003-03-04 05:39:33.405000,161,Ativan,2003-03-04 05:39:33.413000,4673,2
2003-03-04 09:41:03.219000,165,erythromy,2003-03-04 09:41:03.229000,32086,24
2003-03-04 09:41:03.049000,164,erythrom,2003-03-04 09:41:03.059000,32086,24
2003-03-04 09:41:04.775000,168,erythromycin,2003-03-04 09:41:04.786000,32086,24
2003-03-04 09:59:18.292000,158,Oxy,2003-03-04 09:59:18.361000,98462,63
2003-03-04 10:07:52.546000,163,dexameth,2003-03-04 10:07:52.678000,48052,33
2003-03-04 11:30:32.983000,163,atropine,2003-03-04 11:30:33.002000,22721,16
2003-03-04 11:28:07.158000,163,oxyconti,2003-03-04 11:28:07.177000,6742,1
2003-03-04 11:29:59.641000,163,morphine,2003-03-04 11:29:59.725000,91613,28
2003-03-04 11:31:13.227000,160,mome,2003-03-04 11:31:13.235000,18455,12
2003-03-04 11:31:15.121000,161,momet,2003-03-04 11:31:15.129000,18455,12
2003-03-03 21:09:14.965000,162,morphin,2003-03-03 21:09:15.037000,91613,28
2003-03-03 21:02:17.465000,157,hy,2003-03-03 21:02:17.512000,90795,585
2003-03-03 21:01:44.193000,163,hydrocod,2003-03-03 21:01:44.244000,59818,31
2003-03-03 21:08:28.281000,165,Senna Plus,2003-03-03 21:08:28.306000,1325,1
2003-03-03 22:47:11.536000,157,hy,2003-03-03 22:47:11.583000,90795,585
2003-03-03 22:47:12.210000,159,hyos,2003-03-03 22:47:12.225000,44674,39
2003-03-03 22:56:26.133000,160,lamic,2003-03-03 22:56:26.143000,26040,13
2003-03-03 22:28:45.491000,157,di,2003-03-03 22:28:45.568000,53653,1247
2003-03-03 22:40:25.274000,164,lorazepam,2003-03-03 22:40:25.293000,16475,8
2003-03-03 22:58:43.007000,163,adderall,2003-03-03 22:58:43.026000,12872,2
2003-03-03 22:10:03.120000,157,ro,2003-03-03 22:10:03.142000,74716,93
2003-03-03 22:10:03.582000,158,rob,2003-03-03 22:10:03.594000,24864,22
2003-03-03 22:10:04.039000,159,robi,2003-03-03 22:10:04.047000,14820,13
2003-03-03 22:22:47.463000,171,fentanyl citrate,2003-03-03 22:22:47.506000,44379,12
2003-03-03 22:15:44.794000,162,fentany,2003-03-03 22:15:44.875000,107285,21
2003-03-03 22:20:34.962000,156,r,2003-03-03 22:20:35.008000,93438,1032
2003-03-03 22:24:21.177000,168,morphine (PF),2003-03-03 22:24:21.191000,6193,4
2003-03-03 22:15:44.515000,161,fentan,2003-03-03 22:15:44.610000,107285,21
2003-03-03 22:15:51.830000,171,fentanyl citrate,2003-03-03 22:15:51.876000,44379,12
2003-03-03 19:50:07.519000,164,iopidine,2003-03-03 19:50:07.563000,2174,2
2003-03-03 19:50:52.510000,159,pro,2003-03-03 19:50:52.533000,117604,392
2003-03-03 19:45:48.026000,160,proza,2003-03-03 19:45:48.032000,3190,1
2003-03-03 19:47:55.043000,184,dextroamphetamine-amphetamine,2003-03-03 19:47:55.087000,30123,5
2003-03-03 19:48:00.718000,160,proza,2003-03-03 19:48:00.723000,3190,1
2003-03-03 19:45:48.405000,161,prozac,2003-03-03 19:45:48.411000,3190,1
2003-03-03 19:13:26.949000,164,trazodone,2003-03-03 19:13:26.954000,4750,1
2003-03-03 19:38:16.476000,157,fl,2003-03-03 19:38:16.501000,55503,448
2003-03-03 19:28:27.618000,161,seroq,2003-03-03 19:28:27.625000,12330,3
2003-03-03 19:33:52.983000,160,fluox,2003-03-03 19:33:52.991000,23889,8
2003-03-03 20:02:50.814000,163,morphine,2003-03-03 20:02:50.877000,91613,28
2003-03-03 20:03:53.195000,163,fentanyl,2003-03-03 20:03:53.291000,107285,21
2003-03-03 21:33:53.732000,164,lorazepam,2003-03-03 21:33:53.765000,16475,8
2003-03-03 21:33:53.595000,164,lorazepam,2003-03-03 21:33:53.615000,16475,8
2003-03-03 21:35:56.341000,164,lorazepam,2003-03-03 21:35:56.433000,16475,8
2003-03-03 21:24:21.413000,159,mel,2003-03-03 21:24:21.427000,55767,33
2003-03-03 21:40:20.763000,163,fentanyl,2003-03-03 21:40:20.872000,107285,21
2003-03-03 19:00:42.419000,157,ce,2003-03-03 19:00:42.451000,95054,235
2003-03-03 19:06:27.842000,160,zolo,2003-03-03 19:06:27.849000,4332,2
2003-03-03 19:07:10.097000,163,restoril,2003-03-03 19:07:10.106000,3847,1
2003-03-03 19:07:10.828000,163,restoril,2003-03-03 19:07:10.836000,3847,1
2003-03-03 19:07:52.259000,162,Senna-S,2003-03-03 19:07:52.325000,19546,17
2003-03-03 21:57:06.186000,158,tet,2003-03-03 21:57:06.200000,57823,50
2003-03-04 08:11:45.926000,163,revatio,2003-03-04 08:11:45.932000,3418,3
2003-03-04 00:21:46.178000,168,dexamethasone,2003-03-04 00:21:46.210000,42481,28
2003-03-04 00:21:14.539000,157,ac,2003-03-04 00:21:14.591000,73942,1391
2003-03-04 09:32:35.019000,165,mucinex d,2003-03-04 09:32:35.035000,18866,15
2003-03-04 09:32:48.984000,185,dexamethasone sodium phosphate,2003-03-04 09:32:48.992000,4414,3
2003-03-04 08:37:22.510000,164,lorazepam,2003-03-04 08:37:22.613000,16475,8
2003-03-04 08:33:52.667000,162,Crestor,2003-03-04 08:33:52.672000,4292,1
2003-03-04 09:26:32.511000,165,strattera,2003-03-04 09:26:32.518000,6536,1
2003-03-04 09:26:11.143000,162,anusol,2003-03-04 09:26:11.149000,2244,2
2003-03-04 09:18:43.032000,158,ora,2003-03-04 09:18:43.046000,44404,40
2003-03-04 09:18:45.392000,158,lor,2003-03-04 09:18:45.419000,66794,59
2003-03-04 08:42:21.096000,163,zithrom,2003-03-04 08:42:21.104000,9538,6
2003-03-04 08:54:16.585000,160,bact,2003-03-04 08:54:16.592000,9848,9
2003-03-04 09:18:44.945000,157,lo,2003-03-04 09:18:44.965000,61018,265
2003-03-04 09:18:45.893000,160,loraz,2003-03-04 09:18:45.912000,16475,8
2003-03-04 09:17:35.372000,163,morphine,2003-03-04 09:17:35.441000,91613,28
2003-03-04 09:30:33.625000,164,lorazepam,2003-03-04 09:30:33.645000,16475,8
2003-03-04 06:30:19.872000,165,cilostazol,2003-03-04 06:30:19.878000,2230,1
2003-03-04 06:30:30.172000,169,ranitidine HCl,2003-03-04 06:30:30.183000,23989,13
2003-03-04 05:46:00.375000,174,methylphenidate HCl,2003-03-04 05:46:00.426000,49454,15
2003-03-04 11:58:21.364000,160,Xanax,2003-03-04 11:58:21.376000,7940,2
2003-03-04 11:58:15.128000,159,zpac,2003-03-04 11:58:15.133000,41,0
2003-03-04 11:58:17.218000,159,zpack,2003-03-04 11:58:17.224000,41,0
2003-03-04 11:59:36.421000,162,rexulti,2003-03-04 11:59:36.428000,5363,1
2003-03-04 11:58:24.541000,121,Nebuliz,2003-03-04 11:58:24.559000,92682,115
2003-03-04 11:58:37.533000,130,Nebulizer with s,2003-03-04 11:58:37.549000,998,1
2003-03-04 11:50:02.100000,164,lorazepam,2003-03-04 11:50:02.121000,16475,8
2003-03-04 11:50:19.587000,165,alprazolam,2003-03-04 11:50:19.611000,22670,6
2003-03-04 11:42:58.380000,164,trazodone,2003-03-04 11:42:58.387000,4750,1
2003-03-04 11:46:04.291000,160,cipro,2003-03-04 11:46:04.299000,27865,17
2003-03-04 11:46:29.051000,159,flag,2003-03-04 11:46:29.056000,3088,2
2003-03-04 11:54:34.279000,122,Nebulize,2003-03-04 11:54:34.297000,92682,115
2003-03-04 11:58:25.491000,159,zith,2003-03-04 11:58:25.497000,10559,7
2003-03-04 11:54:50.260000,163,morphine,2003-03-04 11:54:50.586000,91613,28
2003-03-04 11:35:08.185000,162,Vyvanse,2003-03-04 11:35:08.201000,12068,2
2003-03-04 00:39:00.560000,165,sertraline,2003-03-04 00:39:00.568000,9279,4
2003-03-04 02:02:49.010000,159,tra,2003-03-04 02:02:49.084000,131421,115
2003-03-04 01:43:21.188000,159,dulc,2003-03-04 01:43:21.195000,4460,4
2003-03-04 01:43:21.943000,161,dulcol,2003-03-04 01:43:21.950000,3562,3
2003-03-04 01:09:25.279000,157,cl,2003-03-04 01:09:25.419000,67614,367
2003-03-04 01:50:53.632000,163,fentanyl,2003-03-04 01:50:53.717000,107285,21
2003-03-04 01:53:13.437000,160,ambi,2003-03-04 01:53:13.447000,4842,2
2003-03-04 01:50:53.477000,163,fentanyl,2003-03-04 01:50:53.568000,107285,21
2003-03-03 20:37:07.877000,159,lora,2003-03-03 20:37:07.905000,65636,48
2003-03-03 20:37:08.231000,160,loraz,2003-03-03 20:37:08.247000,16475,8
2003-03-03 20:37:26.020000,158,tra,2003-03-03 20:37:26.052000,72991,115
2003-03-03 19:24:00.370000,165,gentamycin,2003-03-03 19:24:00.375000,41,0
2003-03-03 19:24:14.530000,159,gara,2003-03-03 19:24:14.535000,41,0
2003-03-03 19:16:03.184000,160,morp,2003-03-03 19:16:03.230000,91613,28
2003-03-03 19:58:40.389000,159,morp,2003-03-03 19:58:40.465000,91613,28
2003-03-03 19:58:39.944000,158,mor,2003-03-03 19:58:40.024000,96740,32
2003-03-03 19:58:41.465000,161,morphi,2003-03-03 19:58:41.546000,91613,28
2003-03-03 19:57:35.424000,157,fe,2003-03-03 19:57:35.496000,112109,257
2003-03-03 20:22:20.407000,179,Tussionex Pennkinetic ER,2003-03-03 20:22:20.424000,1312,1
2003-03-03 20:17:53.017000,179,Tussionex Pennkinetic ER,2003-03-03 20:17:53.022000,1312,1
2003-03-03 20:34:34.003000,157,lo,2003-03-03 20:34:34.025000,61018,265
2003-03-03 20:34:40.086000,160,loraz,2003-03-03 20:34:40.105000,16475,8
2003-03-03 20:34:54.709000,159,spir,2003-03-03 20:34:54.719000,27529,21
2003-03-03 20:36:11.620000,160,dexam,2003-03-03 20:36:11.632000,48052,33
2003-03-03 20:42:49.394000,169,spironolactone,2003-03-03 20:42:49.402000,9679,5
2003-03-03 20:45:08.600000,164,azithrom,2003-03-03 20:45:08.607000,20365,13
2003-03-03 23:10:09.589000,163,selegili,2003-03-03 23:10:09.596000,8480,6
2003-03-04 00:18:00.302000,158,dia,2003-03-04 00:18:00.328000,53652,532
2003-03-04 00:16:00.705000,158,oxy,2003-03-04 00:16:00.759000,98462,63
2003-03-04 00:16:01.770000,161,oxycod,2003-03-04 00:16:01.812000,54490,16
2003-03-04 00:16:02.570000,164,oxycodone,2003-03-04 00:16:02.610000,54490,16
2003-03-04 00:16:02.081000,162,oxycodo,2003-03-04 00:16:02.119000,54490,16
2003-03-04 00:21:15.503000,160,aceta,2003-03-04 00:21:15.535000,70632,426
2003-03-04 00:20:10.681000,157,de,2003-03-04 00:20:10.721000,69930,714
2003-03-04 00:19:29.750000,160,loraz,2003-03-04 00:19:29.767000,16475,8
2003-03-03 21:30:42.287000,156,p,2003-03-03 21:30:42.405000,57993,3754
2003-03-03 21:30:44.825000,161,predni,2003-03-03 21:30:44.838000,58436,36
2003-03-03 21:43:43.256000,157,em,2003-03-03 21:43:43.284000,59889,140
2003-03-03 21:43:43.979000,159,emil,2003-03-03 21:43:43.985000,41,0
2003-03-03 21:43:43.488000,158,emi,2003-03-03 21:43:43.494000,41,0
2003-03-03 21:38:23.393000,163,morphine,2003-03-03 21:38:23.631000,91613,28
2003-03-03 21:38:58.692000,162,tramado,2003-03-03 21:38:58.716000,20772,11
2003-03-03 21:54:18.502000,164,vitamin d,2003-03-03 21:54:18.534000,104038,143
2003-03-03 21:47:59.907000,161,predni,2003-03-03 21:47:59.921000,58436,36
2003-03-03 21:50:24.552000,159,fluo,2003-03-03 21:50:24.571000,72006,117
2003-03-03 21:49:05.139000,159,proz,2003-03-03 21:49:05.147000,3190,1
2003-03-04 01:59:55.858000,168,hydromorphone,2003-03-04 01:59:55.919000,63630,22
2003-03-03 23:22:04.729000,160,lactu,2003-03-03 23:22:04.736000,8411,5
2003-03-04 02:07:37.611000,161,alpry,2003-03-04 02:07:37.616000,41,0
2003-03-04 12:56:26.662000,163,morphine,2003-03-04 12:56:26.759000,91613,28
2003-03-04 12:58:32.666000,163,phenobar,2003-03-04 12:58:32.684000,19168,9
2003-03-04 13:41:55.426000,158,add,2003-03-04 13:41:55.441000,13867,3
2003-03-04 13:44:07.496000,175,ondansetron HCl (PF),2003-03-04 13:44:07.503000,2286,2
2003-03-04 13:47:58.969000,163,Adderall,2003-03-04 13:47:58.986000,12872,2
2003-03-04 13:41:59.290000,166,ondansetron,2003-03-04 13:41:59.300000,17172,10
2003-03-04 13:42:20.435000,161,zofran,2003-03-04 13:42:20.442000,5284,3
2003-03-04 13:18:40.733000,157,fi,2003-03-04 13:18:40.758000,58159,258
2003-03-04 13:18:41.902000,159,fibe,2003-03-04 13:18:41.920000,57404,74
2003-03-04 13:17:41.134000,165,Effexor XR,2003-03-04 13:17:41.140000,3478,1
2003-03-04 13:17:52.299000,157,tr,2003-03-04 13:17:52.333000,86091,438
2003-03-04 13:20:33.899000,164,lorazepam,2003-03-04 13:20:33.919000,16475,8
2003-03-04 13:22:24.691000,163,Antabuse,2003-03-04 13:22:24.696000,1983,1
2003-03-04 13:25:57.146000,156,v,2003-03-04 13:25:57.193000,76977,1232
2003-03-04 13:32:41.327000,163,morphine,2003-03-04 13:32:41.399000,91613,28
2003-03-04 13:33:22.719000,162,Senna-S,2003-03-04 13:33:22.738000,19546,17
2003-03-04 13:39:46.094000,166,ondansetron,2003-03-04 13:39:46.104000,18195,10
2003-03-04 13:40:15.805000,158,bel,2003-03-04 13:40:15.821000,27618,18
2003-03-04 13:37:40.661000,157,Zo,2003-03-04 13:37:40.699000,82135,65
2003-03-04 13:36:39.386000,163,Klonopin,2003-03-04 13:36:39.394000,2920,1
2003-03-04 13:41:29.479000,160,adder,2003-03-04 13:41:29.497000,12872,2
2003-03-04 13:40:55.224000,157,be,2003-03-04 13:40:55.267000,77967,347
2003-03-04 13:58:05.381000,163,morphine,2003-03-04 13:58:05.476000,91613,28
2003-03-04 13:23:39.021000,156,a,2003-03-04 13:23:39.171000,77258,3487
2003-03-04 13:23:45.196000,158,mor,2003-03-04 13:23:45.270000,96740,32
2003-03-04 13:53:33.994000,159,xana,2003-03-04 13:53:34.007000,7940,2
2003-03-04 13:53:34.477000,160,xanax,2003-03-04 13:53:34.492000,7940,2
2003-03-04 13:53:35.008000,159,XANA,2003-03-04 13:53:35.021000,7940,2
2003-03-04 13:55:51.204000,161,Ativan,2003-03-04 13:55:51.214000,4673,2
2003-03-04 13:53:47.810000,157,zo,2003-03-04 13:53:47.846000,82135,65
2003-03-04 13:53:50.053000,162,ondanse,2003-03-04 13:53:50.062000,18195,10
2003-03-04 13:58:00.776000,163,morphine,2003-03-04 13:58:00.848000,91613,28
2003-03-04 13:58:03.299000,189,morphine (PF) in 0.9 % NaCl syring,2003-03-04 13:58:03.307000,41,0
2003-03-04 13:53:50.500000,164,ondansetr,2003-03-04 13:53:50.510000,18195,10
2003-03-04 13:55:51.204000,161,Ativan,2003-03-04 13:55:51.213000,4673,2
2003-03-04 14:57:26.007000,163,venlafax,2003-03-04 14:57:26.015000,17333,4
2003-03-04 13:59:05.368000,161,artifi,2003-03-04 13:59:05.376000,16164,14
2003-03-04 14:02:38.614000,175,phenobarbital sodium,2003-03-04 14:02:38.623000,2122,1
2003-03-04 14:10:47.446000,161,Ativan,2003-03-04 14:10:47.457000,4673,2
2003-03-04 14:11:03.653000,159,lora,2003-03-04 14:11:03.679000,65636,48
2003-03-04 14:11:01.618000,164,lorazepam,2003-03-04 14:11:01.670000,16475,8
2003-03-04 14:11:06.131000,161,loraze,2003-03-04 14:11:06.157000,16475,8
2003-03-04 14:06:18.255000,160,ondan,2003-03-04 14:06:18.262000,18195,10
2003-03-04 14:06:32.025000,159,docu,2003-03-04 14:06:32.063000,57088,63
2003-03-04 14:10:20.939000,163,morphine,2003-03-04 14:10:21.483000,91613,28
2003-03-04 14:42:00.350000,159,kefl,2003-03-04 14:42:00.357000,2865,1
2003-03-04 14:41:34.817000,164,lorazepam,2003-03-04 14:41:34.835000,16475,8
2003-03-04 14:41:44.596000,159,klon,2003-03-04 14:41:44.606000,2920,1
2003-03-04 14:41:49.519000,162,klonopi,2003-03-04 14:41:49.528000,2920,1
2003-03-04 14:43:19.148000,161,Zoloft,2003-03-04 14:43:19.155000,4332,2
2003-03-04 14:43:16.954000,159,xana,2003-03-04 14:43:16.968000,7940,2
2003-03-04 15:06:49.716000,162,gabapen,2003-03-04 15:06:49.727000,23916,11
2003-03-04 12:13:10.857000,158,duc,2003-03-04 12:13:10.864000,3082,3
2003-03-04 12:13:19.062000,157,du,2003-03-04 12:13:19.298000,71808,57
2003-03-04 12:05:49.734000,160,lexap,2003-03-04 12:05:49.741000,3262,1
2003-03-04 12:10:27.136000,161,morphi,2003-03-04 12:10:27.308000,91613,28
2003-03-04 12:13:10.438000,157,du,2003-03-04 12:13:10.465000,71808,57
2003-03-04 12:12:42.496000,163,Benadryl,2003-03-04 12:12:42.504000,11063,10
2003-03-04 12:35:57.593000,163,predniso,2003-03-04 12:35:57.606000,54260,32
2003-03-04 12:39:16.145000,163,furoseod,2003-03-04 12:39:16.151000,41,0
2003-03-04 12:39:59.767000,160,pred,2003-03-04 12:39:59.892000,59389,37
2003-03-04 12:28:00.370000,168,hydromorphone,2003-03-04 12:28:00.434000,63630,22
2003-03-04 12:33:21.692000,157,du,2003-03-04 12:33:21.715000,71808,57
2003-03-04 12:33:21.115000,160,duone,2003-03-04 12:33:21.121000,41,0
2003-03-04 12:23:40.503000,159,vasl,2003-03-04 12:23:40.510000,41,0
2003-03-04 12:23:41.882000,160,valsa,2003-03-04 12:23:41.896000,40783,10
2003-03-04 12:24:57.872000,161,Ativan,2003-03-04 12:24:57.881000,4673,2
2003-03-04 12:25:50.915000,156,i,2003-03-04 12:25:50.973000,63345,1706
2003-03-04 12:25:51.467000,158,int,2003-03-04 12:25:51.491000,78033,52
2003-03-04 12:29:48.570000,163,morphine,2003-03-04 12:29:48.778000,91613,28
2003-03-04 12:42:29.526000,163,Lamictal,2003-03-04 12:42:29.612000,26040,13
2003-03-04 12:44:07.557000,184,Lax Stool Softener With Senna,2003-03-04 12:44:07.563000,1234,1
2003-03-04 12:43:31.737000,157,la,2003-03-04 12:43:31.770000,81255,570
2003-03-04 12:43:32.335000,161,lamica,2003-03-04 12:43:32.341000,41,0
2003-03-04 12:43:08.260000,159,ROBA,2003-03-04 12:43:08.334000,10084,9
2003-03-04 12:33:32.459000,159,mopr,2003-03-04 12:33:32.466000,41,0
2003-03-04 12:33:53.786000,163,Dilaudid,2003-03-04 12:33:53.800000,7623,3
2003-03-04 12:33:31.757000,161,moprhi,2003-03-04 12:33:31.764000,41,0
2003-03-04 12:33:31.209000,157,mo,2003-03-04 12:33:31.274000,83129,295
2003-03-04 12:46:56.303000,164,lorazepam,2003-03-04 12:46:56.319000,16475,8
2003-03-04 12:42:47.655000,163,morphine,2003-03-04 12:42:47.789000,91613,28
2003-03-04 12:44:14.729000,162,Ritalin,2003-03-04 12:44:14.741000,6773,2
2003-03-04 12:55:48.651000,159,CEFD,2003-03-04 12:55:48.659000,6429,4
2003-03-04 12:54:52.875000,164,lorazepam,2003-03-04 12:54:52.892000,16475,8
2003-03-04 13:07:12.924000,161,Ambien,2003-03-04 13:07:12.934000,4842,2
2003-03-04 13:06:30.248000,163,morphine,2003-03-04 13:06:30.319000,91613,28
2003-03-04 13:19:27.098000,159,guag,2003-03-04 13:19:27.104000,41,0
2003-03-04 13:19:28.594000,158,gua,2003-03-04 13:19:28.618000,58809,257
2003-03-04 13:16:49.165000,162,plexon,2003-03-04 13:16:49.170000,41,0
2003-03-04 13:01:53.741000,163,morphine,2003-03-04 13:01:53.843000,91613,28
2003-03-04 14:30:04.767000,163,Restoril,2003-03-04 14:30:04.777000,3847,1
2003-03-04 14:33:21.720000,159,klnp,2003-03-04 14:33:21.726000,41,0
2003-03-04 14:36:54.903000,157,or,2003-03-04 14:36:54.922000,67080,81
2003-03-04 14:06:55.020000,157,do,2003-03-04 14:06:55.046000,76967,246
2003-03-04 15:13:09.738000,156,z,2003-03-04 15:13:09.779000,88105,384
2003-03-04 15:13:10.287000,158,zol,2003-03-04 15:13:10.306000,37518,20
2003-03-04 15:13:59.735000,157,bu,2003-03-04 15:13:59.841000,113187,897
2003-03-04 15:53:17.494000,163,fentanyl,2003-03-04 15:53:17.594000,107285,21
2003-03-04 16:02:56.420000,158,Lor,2003-03-04 16:02:56.451000,66794,59
2003-03-04 16:01:38.031000,156,V,2003-03-04 16:01:38.079000,76992,1232
2003-03-04 16:01:43.496000,165,Valsartan-,2003-03-04 16:01:43.506000,40783,10
2003-03-04 16:05:52.046000,170,Zithromax Z-Pak,2003-03-04 16:05:52.052000,2181,2
2003-03-04 12:13:51.059000,158,bis,2003-03-04 12:13:51.076000,60097,81
2003-03-04 11:29:31.425000,163,morphine,2003-03-04 11:29:31.491000,91613,28
2003-03-04 11:54:43.054000,125,Nebulizer w,2003-03-04 11:54:43.057000,6998,7
2003-03-04 11:57:12.194000,162,rexulti,2003-03-04 11:57:12.201000,5363,1
2003-03-04 12:04:03.535000,163,tramadol,2003-03-04 12:04:03.564000,20772,11
